Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore,delta_open_price_ratio,delta_high_price_ratio,delta_low_price_ratio,delta_close_price_ratio,delta_volume_ratio,delta_quote_asset_volume_ratio,delta_number_of_trades_ratio,delta_taker_buy_base_volume_ratio,delta_taker_buy_quote_volume_ratio
1735711200000,93792.02,93800.0,92888.0,93444.64,2337.69667,1735732799999,218391477.43517753,305355,1108.76249,103590197.476767,0,0.0023084979054458846,-0.007506341695885958,-0.006428882618634495,-0.003703726607018429,0.0037570848231805527,-0.0013074906491809344,-0.09115937413500087,-0.10582264716402681,-0.11042701285832959
1735732800000,93444.65,94500.0,93407.07,94143.85,2961.85271,1735754399999,278511940.5853305,474120,1625.71187,152853926.8588105,0,-0.0037036199881398213,0.007462686567164179,0.005588127637585124,0.007482612164806953,0.266996162508971,0.2752875883995875,0.5526845802426684,0.46623996091354064,0.47556362070930774
1735754400000,94143.84,95151.15,93936.44,94591.79,2744.83013,1735775999999,259863380.0317434,401098,1373.28161,130020559.7912969,0,0.007482397333608745,0.006890476190476129,0.0056673440243869685,0.004758037832529557,-0.07327257674470933,-0.06695784932737393,-0.15401586096346917,-0.15527367712459408,-0.14938031057981613
1735776000000,94591.78,96000.0,94392.0,95596.48,4698.80416,1735797599999,447515568.4923304,611473,2491.982,237387518.89869848,0,0.0047580383379305785,0.008921069267160785,0.004849662175828652,0.010621323478496415,0.7118743009426234,0.7221186318659615,0.5244977536661863,0.8146183432835745,0.8257690882099119
1735797600000,95596.48,96876.38,95380.04,96732.99,4151.29296,1735819199999,399406738.32063794,454737,2103.07435,202278887.957121,0,0.010621430318786654,0.009128958333333381,0.010467412492584049,0.011888617656215055,-0.11652139168958256,-0.10750202575917073,-0.25632529972705254,-0.15606358713666477,-0.14789585865531346
1735819200000,96733.0,97650.0,95924.6,96757.57,9592.51878,1735840799999,928610869.7083055,1513405,4611.89959,446461404.95880926,0,0.011888722262577076,0.00798564108196441,0.005709370639811142,0.0002541015221384322,1.3107303850701977,1.3249754714023632,2.328088543487774,1.1929322612869109,1.2071576992921276
1735840800000,96757.57,97839.5,96400.0,96984.79,3527.87358,1735862399999,342878676.1600058,989464,1709.01392,166098898.5190429,0,0.0002539981185325275,0.0019406041986687148,0.004955975839357101,0.0023483433905996873,-0.6322265652108529,-0.6307617244802329,-0.34620012488395374,-0.629433840297464,-0.6279658293545726
1735862400000,96984.79,97342.44,96590.28,96765.34,1883.74359,1735883999999,182571362.1508054,433041,907.21417,87929596.525267,0,0.0023483433905996873,-0.005080361203808254,0.0019738589211618137,-0.002262725938778618,-0.4660399395604193,-0.4675336355253317,-0.5623478974475069,-0.46915928572424975,-0.47061902692156593
1735884000000,96765.35,96918.56,96100.01,96757.58,2804.44975,1735905599999,270633091.1597289,375210,1438.53245,138837277.1895045,0,-0.002262622829827108,-0.004354524090417341,-0.005075769528776644,-8.019400334866557e-05,0.48876405732056144,0.48234141418183524,-0.13354624619839692,0.5856591503635795,0.5789595616944395
1735905600000,96757.57,98444.42,96472.43,98026.0,6696.20488,1735927199999,652340734.3591217,1361364,3371.64108,328551339.9545405,0,-8.040068061551821e-05,0.015743733707970903,0.0038753377861250825,0.01310925717654367,1.3877072070911591,1.4104248728922333,2.6282721675861516,1.3438060642983758,1.366449030155552
