Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore,delta_open_price_ratio,delta_high_price_ratio,delta_low_price_ratio,delta_close_price_ratio,delta_volume_ratio,delta_quote_asset_volume_ratio,delta_number_of_trades_ratio,delta_taker_buy_base_volume_ratio,delta_taker_buy_quote_volume_ratio
1736438400000,94244.02,94685.25,91203.67,92552.49,12618.09438,1736467199999,1168274160.0540452,2790840,5464.26497,505990603.8192392,0,0.010967738267497987,0.0010257090126330102,-0.006495969498910695,-0.017948406699968854,-0.07780920224862169,-0.08167312691180253,0.29964161177838045,-0.1229543187227326,-0.1269987422957853
1736467200000,92552.49,95000.0,92431.73,94492.63,6530.32444,1736495999999,611857207.6341399,1578426,3390.5289,317821636.5561265,0,-0.017948406699968854,0.0033241713994523964,0.013465028326162727,0.020962591065891358,-0.4824634969959703,-0.47627258347832074,-0.4344261942640925,-0.379508695384514,-0.37188233505287477
1736496000000,94492.62,95293.4,92206.02,93730.92,14854.67634,1736524799999,1394886324.1176865,2287202,7300.29583,685516581.5735505,0,0.020962483019095327,0.0030884210526315177,-0.002441910369956203,-0.008061051957173871,1.2747225618701419,1.2797579348803862,0.4490397395886788,1.1531436673493627,1.156922319706481
1736524800000,93730.93,95836.0,93177.4,94726.11,10097.86346,1736553599999,955341811.5318774,1665816,4926.6135,466373327.52745026,0,-0.008060841153520798,0.005693993497975787,0.010534886984602415,0.010617520877849085,-0.32022325974151783,-0.31511134992583434,-0.2716795455757734,-0.3251487864704792,-0.3196760806909641
1736553600000,94726.1,94746.37,93831.73,94246.36,2265.39337,1736582399999,213626558.9055902,536572,1020.1931,96205010.6518732,0,0.010617306368346211,-0.011369735798656086,0.007022411013829553,-0.005064601512719143,-0.7756561693497092,-0.7763873031338983,-0.6778923962790608,-0.7929220345781134,-0.7937167394157835
1736582400000,94246.36,94791.67,94031.22,94410.26,1901.471,1736611199999,179582810.4479792,447574,921.37585,87025676.4004042,0,-0.005064496479850909,0.00047811858121849855,0.002126039880113105,0.0017390592061061476,-0.16064422842378134,-0.1593610299768777,-0.16586404061337529,-0.0968613196854595,-0.09541430523494537
1736611200000,94410.26,95050.94,93984.55,94599.99,2881.03993,1736639999999,272476625.5794406,512045,1470.80776,139116290.3831779,0,0.0017390592061061476,0.0027351559477747788,-0.0004963245186013565,0.0020096332750276346,0.5151637495391725,0.5172756507136326,0.1440454539361089,0.5963168125146756,0.5985660340415552
1736640000000,94599.99,94699.0,94274.01,94323.85,1539.66215,1736668799999,145504062.9128656,325352,692.73746,65473419.2022854,0,0.0020096332750276346,-0.0037026461810898696,0.0030798679144603217,-0.0029190277927090627,-0.4655880559072987,-0.46599433032671683,-0.3646027204640217,-0.5290088352539015,-0.5293619530685637
1736668800000,94323.85,95450.1,93711.19,95071.9,3670.4583,1736697599999,346761432.4418743,641018,1763.17744,166639066.8031825,0,-0.0029190277927090627,0.007931445949798898,-0.005970044129871981,0.007930655926364204,1.3839374761534533,1.3831735382504797,0.9702291671789324,1.5452318400682414,1.5451407431210777
1736697600000,95071.91,95314.12,93800.0,94545.06,3396.74577,1736726399999,321013334.303655,692493,1572.41541,148579283.9129748,0,0.007930761944089407,-0.001424618727481799,0.0009476989887760221,-0.005541490177434095,-0.07457175851854789,-0.07425306198818782,0.08030195719932981,-0.10819219079844844,-0.10837664442479222
