Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,93898.05000000,93489.03000000,93761.90000000,271.27422000,1735691399999,25410468.28746640,40266,115.51515000,10821401.25043520,0
1735691400000,93761.90000000,94509.42000000,93761.89000000,94401.14000000,484.71588000,1735693199999,45658342.27199740,53259,305.56804000,28775376.52949070,0
1735693200000,94401.13000000,94408.72000000,93819.60000000,93825.86000000,387.23250000,1735694999999,36401964.37692810,46486,177.76295000,16713208.47830820,0
1735695000000,93825.86000000,93989.37000000,93578.77000000,93607.74000000,199.30206000,1735696799999,18694642.52967270,33457,79.65728000,7474729.84755500,0
1735696800000,93607.74000000,93805.16000000,93594.56000000,93742.52000000,152.93592000,1735698599999,14335456.80502060,31070,102.81563000,9637541.18333950,0
1735698600000,93742.51000000,94105.12000000,93742.51000000,94098.91000000,123.84453000,1735700399999,11638633.83078880,24008,82.53641000,7756229.24890850,0
1735700400000,94098.90000000,94098.91000000,93766.23000000,93830.89000000,112.48847000,1735702199999,10566593.29531710,21449,52.11469000,4895808.77287680,0
1735702200000,93830.90000000,93891.15000000,93728.22000000,93838.04000000,108.50455000,1735703999999,10181447.71108840,13552,67.80671000,6362856.40982320,0
1735704000000,93838.04000000,93838.04000000,93679.07000000,93738.09000000,141.00467000,1735705799999,13216765.75142230,18691,86.38050000,8096596.86650240,0
1735705800000,93738.09000000,93738.10000000,93500.00000000,93553.91000000,138.46442000,1735707599999,12962290.37372720,19906,46.60497000,4364027.89828720,0
1735707600000,93553.91000000,93933.33000000,93547.40000000,93891.74000000,141.23578000,1735709399999,13234482.08366970,19381,92.53414000,8672059.48575650,0
1735709400000,93891.74000000,93937.19000000,93792.01000000,93792.02000000,67.94362000,1735711199999,6376308.76864820,14458,30.68404000,2879515.54243310,0
1735711200000,93792.02000000,93792.02000000,93603.21000000,93654.50000000,94.66068000,1735712999999,8868018.22040860,14579,40.33184000,3778065.37755970,0
1735713000000,93654.50000000,93757.58000000,93568.38000000,93757.58000000,177.61778000,1735714799999,16635557.64687530,15487,125.57379000,11761240.01509680,0
1735714800000,93757.57000000,93786.04000000,93664.08000000,93786.03000000,72.64035000,1735716599999,6807575.64686530,11669,38.40324000,3599046.10643320,0
