Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore,delta_open_price_ratio,delta_high_price_ratio,delta_low_price_ratio,delta_close_price_ratio,delta_volume_ratio,delta_quote_asset_volume_ratio,delta_number_of_trades_ratio,delta_taker_buy_base_volume_ratio,delta_taker_buy_quote_volume_ratio
1735689900000,93661.2,93678.02,93600.0,93607.1,71.94585,1735690199999,6736120.6541571,4165,16.66761,1560680.2912027,0,0.0009104898691971989,-0.00025751810390679515,0.0006681812107443538,-0.000577613782441302,0.5660283925679557,0.5658450767459995,-0.4407894736842105,-0.012563041813021286,-0.012542687873613546
1735690200000,93607.1,93656.19,93489.03,93656.18,57.96928,1735690499999,5423765.8623784,8175,29.65936,2774717.2751442,0,-0.000577613782441302,-0.00023303225238964002,-0.0011855769230769355,0.000524319202282596,-0.19426513134531034,-0.19482352813392667,0.9627851140456183,0.7794608825140497,0.7778896105658719
1735690500000,93656.19,93840.05,93614.95,93796.35,39.74456,1735690799999,3727084.2190624,8031,18.83666,1766277.7334103,0,0.0005244260317860131,0.001963137727468954,0.0013468959941075253,0.0014966444285899,-0.3143858264239266,-0.31282354112756267,-0.01761467889908257,-0.36489998435569754,-0.3634386648209022
1735690800000,93796.35,93898.05,93707.81,93740.0,38.38053,1735691099999,3600685.1932406,10064,23.35948,2191366.8487768,0,0.0014965374952793135,0.0006180729869602584,0.0009919355829384152,-0.0006007696461536703,-0.034319916989897475,-0.033913648952530864,0.2531440667413772,0.24010732263575407,0.24066946399519232
1735691100000,93740.0,93761.9,93721.0,93761.9,17.2924,1735691399999,1620904.8748074,2383,10.11237,947855.041587,0,-0.0006007696461536703,-0.0014499768632043875,0.00014075667759178587,0.00023362491999140365,-0.5494486397139383,-0.5498343265747726,-0.7632154213036566,-0.5670978121088313,-0.5674594410716381
1735691400000,93761.9,93963.67,93761.89,93882.92,41.20105,1735691699999,3868313.5483136,9193,25.81812,2423918.6749342,0,0.00023362491999140365,0.0021519401803931455,0.0004362949605744648,0.0012907161650948208,1.382610279660429,1.3865148463898864,2.8577423415862357,1.5531225617733528,1.5572672704001413
1735691700000,93882.91,93924.61,93836.61,93909.03,29.61201,1735691999999,2779743.7539562,7252,18.09455,1698547.9629892,0,0.001290609511966047,-0.00041569257565182027,0.0007969122636073266,0.0002781123552612188,-0.2812802100917331,-0.28140681482036645,-0.211138910040248,-0.29915307543694114,-0.2992553832131728
1735692000000,93909.03,93952.97,93885.0,93885.01,23.5511,1735692299999,2211783.8332978,5380,17.67409,1659852.6371658,0,0.0002782189005431909,0.0003019442934072399,0.0005156835908714032,-0.00025577944953753727,-0.20467742649013018,-0.2043209629844714,-0.2581356867071153,-0.023236830979493937,-0.022781414871147786
1735692300000,93885.0,93977.98,93864.44,93977.97,16.0662,1735692599999,1509070.313279,3953,12.73266,1196010.9957939,0,-0.0002558859355697619,0.00026619701325029704,-0.0002189913191670413,0.0009901474154394446,-0.3178153037437743,-0.31771347156066526,-0.26524163568773235,-0.27958610598904954,-0.27944748285842413
1735692600000,93977.98,94330.59,93964.07,94260.0,153.78843,1735692899999,14480872.9231024,13435,113.68314,10704468.201905,0,0.0009903605474782546,0.003752049150237115,0.0010614243264009742,0.0030010224736712107,8.572172013294992,8.595890128961237,2.398684543384771,7.9284674215756965,7.950141963201168
1735692900000,94260.0,94509.42,94212.13,94401.14,220.49709,1735693199999,20808557.9000484,14046,117.56548,11092578.0567026,0,0.00300091574643341,0.0018957795133052995,0.002639945247156681,0.0014973477615107089,0.4337690423135211,0.43696847631685115,0.04547822850762932,0.034150534547163276,0.036256808603395405
1735693200000,94401.13,94408.72,94105.2,94118.41,49.21796,1735693499999,4637588.9916747,12435,21.7763,2051941.1644616,0,0.001497241671971193,-0.0010655022536377548,-0.001134991852959991,-0.0029949850181893558,-0.7767863512393746,-0.7771306875781184,-0.11469457496796241,-0.8147730099005251,-0.8150167477774266
1735693500000,94118.41,94118.41,93880.0,94061.41,192.32691,1735693799999,18073509.8796165,12540,96.14963,9034640.0077594,0,-0.002994879404515615,-0.0030750337468826786,-0.0023930664830423515,-0.0006056200906921399,2.9076570829022574,2.897178019022746,0.008443908323281062,3.415333642537989,3.4029722509758025
1735693800000,94061.41,94172.0,94061.4,94153.05,43.02531,1735694099999,4050345.9629567,6443,30.5524,2876168.8777998,0,-0.0006056200906921399,0.0005693891343892922,0.0019322539412014719,0.0009742571369066168,-0.7762907437133992,-0.7758959941961951,-0.4862041467304625,-0.6822411069080556,-0.6816509705611289
1735694100000,94153.04,94153.05,93971.28,93990.24,19.83923,1735694399999,1865209.6932224,6469,8.71475,819274.5633838,0,0.0009741508233821936,-0.00020122754109498672,-0.0009580975830680317,-0.001729205798431359,-0.5388939672950642,-0.539493734539945,0.004035387241968028,-0.7147605425433026,-0.7151507445520635
1735694400000,93990.23,93990.89,93850.39,93898.13,32.91057,1735694699999,3090036.2321508,3505,6.45632,606416.9147904,0,-0.0017292059820904102,-0.0017223021452837002,-0.001286456883422248,-0.0009799953697320124,0.6588632724153104,0.6566696191742109,-0.4581851909104962,-0.2591502911730113,-0.2598123487616252
1735694700000,93898.14,93935.27,93819.6,93825.86,49.91252,1735694999999,4685273.617307,5094,14.11355,1324766.9501132,0,-0.0009797826859238084,-0.0005917594779663789,-0.00032807535482797244,-0.0007696638900050945,0.5166106208430908,0.5162520000763373,0.45335235378031385,1.1860053405035687,1.1845811318951882
1735695000000,93825.86,93989.37,93825.86,93970.23,39.8335,1735695299999,3741387.4175246,6653,23.38041,2195930.8383598,0,-0.0007697703064192628,0.0005759285090679067,6.672379758594964e-05,0.0015387015903717306,-0.2019337032071312,-0.20145807414443526,0.3060463290145269,0.6565931321318875,0.6575978425278199
1735695300000,93970.23,93970.24,93893.29,93922.01,29.09079,1735695599999,2732511.4976477,3658,12.96058,1217436.9181251,0,0.0015387015903717306,-0.00020353365492278654,0.0007186718032746305,-0.0005131412363256019,-0.2696903360236987,-0.2696528873624103,-0.4501728543514204,-0.44566498192290044,-0.44559414310405315
1735695600000,93922.01,93971.02,93917.21,93923.14,10.0546,1735695899999,944546.5287348,3707,5.24723,492923.7970483,0,-0.0005131412363256019,8.300500243468951e-06,0.0002547572888330232,1.2031258700752429e-05,-0.6543717100841882,-0.6543302637343269,0.013395297977036633,-0.5951392607429605,-0.5951134800418064
1735695900000,93923.14,93945.25,93822.46,93854.48,19.38102,1735696199999,1819730.3995531,4903,11.26666,1057960.6153859,0,1.2031258700752429e-05,-0.00027423348176921006,-0.0010088672778929442,-0.0007310232600826963,0.9275774272472299,0.9265651232561197,0.3226328567574858,1.147163360477814,1.146296489885705
1735696200000,93854.47,93854.48,93578.77,93626.1,85.86737,1735696499999,8045254.5352655,11300,20.29466,1901257.3240482,0,-0.0007311297301176074,-0.0009662010585953422,-0.002597352488945635,-0.00243334148780101,3.430487662672036,3.4211244353786143,1.3047114011829493,0.8013022492912718,0.7970965047264074
1735696500000,93626.1,93645.96,93594.42,93607.74,15.07478,1735696799999,1411212.150947,3236,6.50774,609220.3545877,0,-0.002433235199133247,-0.00222173731078143,0.00016723878717356703,-0.00019609916465601558,-0.8244411119148053,-0.8245907392039488,-0.7136283185840708,-0.6793373232170433,-0.6795697526673905
1735696800000,93607.74,93779.99,93594.56,93753.19,27.44459,1735697099999,2571335.5200951,9619,16.67536,1562291.0445902,0,-0.00019609916465601558,0.001431241668086897,1.4958156693467189e-06,0.001553824502119131,0.8205632188330444,0.8220758079283789,1.9724969097651421,1.5623887862760346,1.564410451531132
1735697100000,93753.2,93776.34,93674.02,93682.94,22.67176,1735697399999,2125057.4683497,5094,10.70071,1002962.7076573,0,0.0015539313308919952,-3.89208828024905e-05,0.0008489809664152105,-0.0007493078368853369,-0.1739078630797546,-0.17355885618882394,-0.47042312090653915,-0.35829211483290313,-0.3580180139095758
1735697400000,93682.94,93805.04,93676.96,93800.0,54.60054,1735697699999,5119260.6179478,5882,47.24544,4429553.8624402,0,-0.0007494144199877419,0.000306047346270894,3.138543643159895e-05,0.0012495337998572383,1.4083061923732434,1.4089986714210467,0.154691794267766,3.4151687131040838,3.416469155455103
1735697700000,93800.0,93805.16,93689.48,93765.41,23.19997,1735697999999,2174996.3760239,5915,15.52899,1455772.0305976,0,0.0012495337998572383,1.2792489615685395e-06,0.0001336507931084604,-0.0003687633262259756,-0.5750963268861443,-0.5751346652681635,0.005610336620197212,-0.6713124060226765,-0.6713501910561194
1735698000000,93765.42,93773.19,93702.61,93716.81,13.08729,1735698299999,1226630.1339621,3213,4.913,460481.0190626,0,-0.0003686567164179291,-0.00034081280816536277,0.00014014380269806873,-0.0005183148028681987,-0.43589194296371936,-0.4360311826337402,-0.45680473372781066,-0.683623983272576,-0.6836860377970232
1735698300000,93716.81,93742.52,93702.62,93742.52,11.93177,1735698599999,1118176.688642,1347,7.75213,726480.5189916,0,-0.0005184213967153412,-0.0003270657636793443,1.0672061316927362e-07,0.00027433712265714555,-0.08829329830698328,-0.08841576797872046,-0.580765639589169,0.5778811316914308,0.5776557315445804
1735698600000,93742.51,93799.36,93742.51,93773.61,13.91987,1735698899999,1305276.8634943,3804,8.56202,802829.036053,0,0.00027423041821416125,0.0006063417113173031,0.00042570848072337166,0.0003316531281642152,0.16662238712278224,0.16732612721476856,1.824053452115813,0.10447322219828617,0.10509368808316631
1735698900000,93773.61,93880.0,93773.6,93879.99,12.32596,1735699199999,1156601.5189666,3743,8.29096,777880.41578,0,0.00033175983873277794,0.000859707358344443,0.00033165316354353066,0.001134434304064914,-0.11450609811729559,-0.11390330180961583,-0.016035751840168245,-0.03165841705578827,-0.031075881853571817
1735699200000,93879.99,93921.86,93855.17,93921.86,13.58807,1735699499999,1275904.0157291,2972,9.9958,938577.9999041,0,0.001134434304064914,0.00044588836812953323,0.0008698610269840598,0.00044599493459676913,0.10239445852493435,0.1031491786982039,-0.20598450440822869,0.20562636896089223,0.2065839181244388
1735699500000,93921.86,93965.2,93912.0,93934.22,10.69693,1735699799999,1004896.544006,3873,6.68824,628301.9194276,0,0.00044599493459676913,0.00046144742022779904,0.0006055074003914941,0.00013159875666858155,-0.21277046703468558,-0.21240427836433762,0.3031628532974428,-0.33089497588987365,-0.33058102843685094
1735699800000,93934.22,94105.12,93934.21,94040.01,54.77784,1735700099999,5152432.3758633,5669,37.08274,3487743.2607771,0,0.00013159875666858155,0.0014890619080255058,0.0002364979981259733,0.0011262136418441926,4.120893564789149,4.127326197504104,0.46372321198037697,4.544469097998875,4.551062559150748
1735700100000,94040.01,94098.91,94040.0,94098.91,18.53586,1735700399999,1743522.5127295,3947,11.91665,1120896.6169667,0,0.0011262136418441926,-6.59900332733421e-05,0.0011262137617380674,0.0006263291550054997,-0.6616175446129311,-0.6616117620685182,-0.3037572764155936,-0.6786469931833516,-0.6786183691981518
1735700400000,94098.9,94098.91,93959.89,93988.45,23.57324,1735700699999,2216391.1452199,4505,15.50682,1457894.1959212,0,0.0006262228172880822,0.0,-0.0008518715440238258,-0.001173871195745056,0.27176402929240934,0.27121452636141774,0.1413731948315176,0.30127342835444515,0.3006500098701893
1735700700000,93988.45,94050.5,93965.31,93982.0,21.59699,1735700999999,2030082.6871705,4582,9.98319,938332.0723613,0,-0.0011737650493257317,-0.0005144586690749498,5.7684188434003636e-05,-6.862545344664254e-05,-0.08383446653917734,-0.08405937663630017,0.01709211986681465,-0.3562064949486741,-0.35637848412696654
1735701000000,93982.0,93992.8,93971.63,93976.01,19.89506,1735701299999,1869693.3284464,1472,8.04535,756087.2736724,0,-6.862545344664254e-05,-0.0006135001940446578,6.725886393613755e-05,-6.373560894644973e-05,-0.07880403704405108,-0.07900631818482647,-0.678742907027499,-0.1941102994133139,-0.19422207132948507
1735701300000,93976.01,93976.01,93832.13,93849.7,18.2703,1735701599999,1715320.6112769,4412,6.96667,653940.9030931,0,-6.373560894644973e-05,-0.0001786307036284497,-0.00148449058508403,-0.001344066427165802,-0.08166650414726077,-0.08256579558839962,1.997282608695652,-0.13407496255601056,-0.13509865082527286
1735701600000,93849.71,93856.0,93766.23,93830.88,22.20545,1735701899999,2083173.568984,4824,7.55658,708945.2908854,0,-0.0013439600170297543,-0.0012770280415181998,-0.0007023180652513028,-0.00020053340607367347,0.2153850785154048,0.21445142983110724,0.09338168631006347,0.08467603604017424,0.08411216905401198
1735701900000,93830.89,93848.98,93830.88,93830.89,6.94743,1735702199999,651931.9542194,1654,4.05608,380609.0369434,0,-0.00020053338470632444,-7.479543129905466e-05,0.0006894806371121964,1.0657472246622125e-07,-0.687129510998426,-0.687048662710636,-0.6571310116086235,-0.4632386608756872,-0.46313341545994574
1735702200000,93830.9,93848.0,93828.01,93829.13,17.10461,1735702499999,1605025.8969291,1699,9.21944,865091.6119611,0,1.0657471110805099e-07,-1.0442308483224063e-05,-3.058694536393451e-05,-1.8757149164787432e-05,1.462005374649331,1.4619531019167493,0.02720677146311971,1.2729926431431335,1.272914008843534
1735702500000,93829.13,93850.31,93800.0,93850.31,13.37962,1735702799999,1255261.4240221,2108,6.04818,567411.8818954,0,-1.8863721865499774e-05,2.4614269883190603e-05,-0.0002985249287498985,0.00022572947228641056,-0.2177769618833754,-0.21791827382736018,0.24072984108299,-0.3439753390661472,-0.3441019724961633
1735702800000,93850.31,93891.15,93840.0,93857.04,37.35226,1735703099999,3506139.5828511,2440,29.34276,2754393.3411479,0,0.00022572947228641056,0.0004351610559410673,0.00042643923240938164,7.170993894421794e-05,1.7917280161917906,1.7931548884986457,0.15749525616698293,3.851502435443389,3.8543102973928574
1735703100000,93857.03,93867.35,93728.22,93786.19,25.41642,1735703399999,2384277.3229074,4284,13.10899,1229690.9030771,0,7.160338628610992e-05,-0.00025348501962100113,-0.0011911764705882229,-0.0007548714513049982,-0.3195480005761365,-0.31997079221570274,0.7557377049180328,-0.5532461840672112,-0.5535529059315024
1735703400000,93786.18,93812.0,93786.18,93801.66,8.27912,1735703699999,776572.0834838,1574,5.33616,500513.542372,0,-0.0007548715317329541,-0.0005896619005437547,0.0006183836628924763,0.0001649496583665587,-0.6742609698769535,-0.6742945646369509,-0.6325863678804855,-0.5929388915545745,-0.5929761364261972
1735703700000,93801.66,93838.04,93801.65,93838.04,6.97252,1735703999999,654171.4008949,1447,4.75118,445755.1293697,0,0.0001650563014722476,0.00027757642945458574,0.00016494967595440143,0.00038783961819002034,-0.15781870536965284,-0.15761664009320955,-0.0806861499364676,-0.10962564840634462,-0.10940445835449855
1735704000000,93838.04,93838.04,93733.28,93797.95,54.89707,1735704299999,5147017.8504447,4296,45.88913,4302259.1258995,0,0.00038783961819002034,0.0,-0.0007288784365732943,-0.0004272254620833567,6.873347082546912,6.8679958240357655,1.9689011748445058,8.658470106373576,8.651620009360109
1735704300000,93797.96,93797.96,93727.36,93727.36,12.55923,1735704599999,1177645.1415214,1903,1.63722,153514.9469438,0,-0.00042711889549256567,-0.00042711889549256567,-6.315793067305714e-05,-0.0007525750829308797,-0.7712222164133714,-0.7711985511339052,-0.5570297951582868,-0.9643222697837157,-0.9643175963019885
