Open_time,delta_open_price_ratio,delta_high_price_ratio,delta_low_price_ratio,delta_volume_ratio,delta_quote_asset_volume_ratio,delta_number_of_trades_ratio,delta_taker_buy_base_volume_ratio,delta_taker_buy_quote_volume_ratio,delta_close_price_ratio
1735690500000,0.0008569505001282629,0.0020906670764759268,0.0013468959941075253,-0.4574134865353177,-0.4563973837288404,0.034869617950272894,-0.17242065074175755,-0.17079425363218306,0.00112880965249705
1735691400000,0.0011287027584614732,0.0006988430537161884,0.001569621091503038,-0.011039171120514725,-0.009926962217269896,0.06577790799882802,0.17737553602654713,0.17874217073948295,0.001313006669020152
1735692300000,0.0013129000158913784,0.005808095831080246,0.0010937279527962044,3.1366523052820057,3.1534041720796986,0.4402749140893471,2.9615865487971766,2.976442005452354,0.005497469723867577
1735693200000,0.00549747030942115,-0.0010655022536377548,0.00016577097780584075,-0.270990326365156,-0.2727572045657428,-0.0005090029903925686,-0.3914355642367316,-0.3927406044558103,-0.002628040296970953
1735694100000,-0.002628040575361874,-0.0027081184873600475,-0.0006433745206646163,-0.6392372524767002,-0.6397608723149818,-0.520402317143039,-0.8027683905119353,-0.8030145624297484,-0.003475086574465748
1735695000000,-0.0034749807334950953,-0.001738446072644567,6.672379758594964e-05,-0.23069252672255983,-0.23049318959788473,-0.0696840987523228,0.42013862566767124,0.4202329013078344,0.0010368143707928585
1735695900000,0.0010368143707928585,-0.0004694147859486168,-0.0026334957121628994,0.5234851996527172,0.5200215693473813,0.38671707804251676,-0.08461915417394636,-0.08648951438502209,-0.0033580649028556136
1735696800000,-0.0033580649028556136,-0.001492465026172227,0.0001687348530013121,-0.12970303225887414,-0.12952447250294194,0.059468079633726016,0.9601616115554206,0.9601873532200603,0.0020538899881569063
1735697700000,0.0020538899881569063,1.2792489615685395e-06,0.0010141615068226001,-0.5395295830500696,-0.5395311020669671,-0.4913814032532168,-0.6221716767725552,-0.6221863824956977,-0.000612793176972238
1735698600000,-0.0006128997867804396,0.0012440680235500593,0.0005660187248344087,-0.17389669597252366,-0.17302098477990915,0.004200477326968974,-0.04771704170940608,-0.0467115256638136,0.0019131126408805364
