Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,93702.15000000,93537.50000000,93702.15000000,31.96453000,1735689779999,2992630.14786310,4999,13.90884000,1302231.69527110,0
1735689780000,93702.14000000,93702.15000000,93654.48000000,93678.01000000,19.06495000,1735689959999,1785878.87892800,2831,7.50727000,703219.63233750,0
1735689960000,93678.01000000,93678.02000000,93600.00000000,93611.84000000,54.49787000,1735690139999,5102479.96635030,3332,10.50767000,983757.76603980,0
1735690140000,93611.99000000,93623.38000000,93489.03000000,93520.54000000,51.42567000,1735690319999,4812430.58735700,4251,16.53199000,1546707.28334130,0
1735690320000,93520.54000000,93656.19000000,93489.05000000,93656.18000000,18.90371000,1735690499999,1768374.41985760,4375,14.75087000,1379985.24967140,0
1735690500000,93656.19000000,93827.32000000,93614.95000000,93827.31000000,22.38307000,1735690679999,2098319.13028820,5375,15.07144000,1413040.64445910,0
1735690680000,93827.31000000,93866.00000000,93794.73000000,93866.00000000,23.73508000,1735690859999,2226740.01512660,4362,9.62607000,903106.34098760,0
1735690860000,93866.00000000,93898.05000000,93707.81000000,93748.42000000,30.04844000,1735691039999,2819099.63536140,7560,16.03172000,1503974.95914160,0
1735691040000,93748.43000000,93757.58000000,93721.00000000,93733.63000000,11.34714000,1735691219999,1063624.00803250,1764,6.99032000,655229.88223190,0
1735691220000,93733.62000000,93761.90000000,93727.29000000,93761.90000000,7.90376000,1735691399999,740891.49830170,1417,4.58896000,430147.79695390,0
1735691400000,93761.90000000,93963.67000000,93761.89000000,93931.99000000,23.52234000,1735691579999,2208012.30268230,7424,17.05586000,1600978.74662740,0
1735691580000,93931.98000000,93940.52000000,93868.00000000,93884.27000000,28.29965000,1735691759999,2657400.97116700,2704,14.49561000,1361171.83130370,0
1735691760000,93884.26000000,93924.61000000,93836.61000000,93924.60000000,15.13888000,1735691939999,1420934.84142610,5094,9.52412000,893927.86219350,0
1735691940000,93924.61000000,93952.97000000,93884.60000000,93892.00000000,16.03797000,1735692119999,1506235.02593720,3923,12.17972000,1143896.67529000,0
1735692120000,93892.00000000,93924.66000000,93885.00000000,93885.01000000,11.36532000,1735692299999,1067257.99435500,2680,8.33145000,782344.15967460,0
1735692300000,93885.00000000,93960.00000000,93864.44000000,93959.99000000,9.04057000,1735692479999,848854.55755930,3238,6.47981000,608416.51110080,0
