Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,94509.42000000,93489.03000000,94401.14000000,755.99010000,1735693199999,71068810.55946380,93525,421.08319000,39596777.77992590,0
1735693200000,94401.13000000,94408.72000000,93578.77000000,93607.74000000,586.53456000,1735696799999,55096606.90660080,79943,257.42023000,24187938.32586320,0
1735696800000,93607.74000000,94105.12000000,93594.56000000,94098.91000000,276.78045000,1735700399999,25974090.63580940,55078,185.35204000,17393770.43224800,0
1735700400000,94098.90000000,94098.91000000,93728.22000000,93838.04000000,220.99302000,1735703999999,20748041.00640550,35001,119.92140000,11258665.18270000,0
1735704000000,93838.04000000,93838.04000000,93500.00000000,93553.91000000,279.46909000,1735707599999,26179056.12514950,38597,132.98547000,12460624.76478960,0
1735707600000,93553.91000000,93937.19000000,93547.40000000,93792.02000000,209.17940000,1735711199999,19610790.85231790,33839,123.21818000,11551575.02818960,0
1735711200000,93792.02000000,93792.02000000,93568.38000000,93757.58000000,272.27846000,1735714799999,25503575.86728390,30066,165.90563000,15539305.39265650,0
1735714800000,93757.57000000,93800.00000000,93664.08000000,93684.10000000,197.93458000,1735718399999,18551648.86511050,22891,70.38945000,6597697.41253020,0
1735718400000,93684.11000000,93756.02000000,93304.00000000,93428.46000000,481.71173000,1735721999999,45055029.98234460,51464,162.13835000,15164799.96863530,0
1735722000000,93428.47000000,93486.29000000,92888.00000000,93413.06000000,798.49773000,1735725599999,74409822.91904100,93479,404.55111000,37715564.84403890,0
1735725600000,93413.07000000,93536.75000000,93284.00000000,93326.23000000,265.55192000,1735729199999,24807034.66581490,49313,118.86289000,11103987.67129100,0
1735729200000,93326.24000000,93705.08000000,93200.00000000,93444.64000000,321.72225000,1735732799999,30064365.13558260,58142,186.91506000,17468842.18761510,0
1735732800000,93444.65000000,93972.00000000,93407.07000000,93820.76000000,499.35613000,1735736399999,46801447.58169580,58928,342.36500000,32089241.73441800,0
1735736400000,93820.75000000,94058.79000000,93600.28000000,94031.76000000,340.36387000,1735739999999,31931359.70163770,64479,197.44439000,18528035.52376680,0
1735740000000,94031.77000000,94450.85000000,93671.48000000,94175.89000000,751.90697000,1735743599999,70772885.89982150,124282,412.93164000,38871686.93313520,0
1735743600000,94175.89000000,94500.00000000,93900.00000000,94432.94000000,486.08395000,1735747199999,45796540.67623830,77490,234.75820000,22120189.22596430,0
1735747200000,94432.94000000,94492.00000000,93922.00000000,94090.49000000,580.27384000,1735750799999,54656651.52477610,87522,287.20750000,27055176.30143840,0
1735750800000,94090.50000000,94189.16000000,93760.93000000,94143.85000000,303.86795000,1735754399999,28553055.20116110,61419,151.00514000,14189597.14008780,0
1735754400000,94143.84000000,94380.44000000,93936.44000000,94340.06000000,291.78831000,1735757999999,27491847.58286950,54037,161.74273000,15240534.66947610,0
1735758000000,94340.06000000,94823.75000000,94148.34000000,94627.07000000,545.12372000,1735761599999,51502887.18753520,85002,269.56099000,25473062.42200050,0
1735761600000,94627.08000000,94852.70000000,94579.83000000,94786.23000000,424.42468000,1735765199999,40210106.48707660,59241,191.94445000,18186262.45167470,0
1735765200000,94786.23000000,95151.15000000,94687.87000000,94978.48000000,636.81156000,1735768799999,60425238.60044420,85265,363.03885000,34450077.64607020,0
1735768800000,94978.48000000,94997.32000000,94685.81000000,94802.98000000,409.77402000,1735772399999,38856353.10856900,49494,186.53449000,17687335.09550420,0
1735772400000,94802.99000000,94952.29000000,94542.00000000,94591.79000000,436.90784000,1735775999999,41376947.06524890,68059,200.46010000,18983287.50657120,0
1735776000000,94591.78000000,95381.70000000,94392.00000000,95128.59000000,1181.76573000,1735779599999,112223181.11060700,178842,580.02635000,55090463.08753360,0
1735779600000,95128.59000000,95516.00000000,94699.69000000,94862.72000000,1143.36617000,1735783199999,108792520.60606050,123452,652.50511000,62100038.95204780,0
1735783200000,94862.73000000,95234.37000000,94803.03000000,95234.36000000,455.65000000,1735786799999,43302158.02985310,71796,221.53479000,21052376.43316890,0
1735786800000,95234.37000000,95299.24000000,94913.75000000,95010.33000000,290.28586000,1735790399999,27593868.74293390,47561,141.84373000,13482922.56923550,0
1735790400000,95010.34000000,96000.00000000,94984.84000000,95708.07000000,925.61919000,1735793999999,88472314.41104680,110599,528.64795000,50533631.55460100,0
1735794000000,95708.07000000,95800.00000000,95395.21000000,95596.48000000,702.11721000,1735797599999,67131525.59182910,79223,367.42407000,35128086.30211170,0
1735797600000,95596.48000000,95697.01000000,95380.04000000,95574.99000000,517.46772000,1735801199999,49408449.17906530,59246,298.97139000,28544324.82897710,0
1735801200000,95575.00000000,95880.00000000,95505.35000000,95822.00000000,452.62773000,1735804799999,43344714.57414300,53464,249.42978000,23884696.84303680,0
1735804800000,95822.01000000,96211.54000000,95640.05000000,96150.00000000,844.76163000,1735808399999,81063998.52103700,84808,448.73644000,43057598.59322980,0
1735808400000,96150.00000000,96799.86000000,96036.86000000,96755.51000000,976.02528000,1735811999999,94077226.32038080,108158,468.81930000,45199567.84383190,0
1735812000000,96755.51000000,96808.37000000,96538.77000000,96708.00000000,826.74686000,1735815599999,79924436.49895080,84692,393.93290000,38084070.86726590,0
1735815600000,96708.00000000,96876.38000000,96469.46000000,96732.99000000,533.66374000,1735819199999,51587913.22706100,64369,243.18454000,23508628.98077950,0
1735819200000,96733.00000000,96895.00000000,96609.42000000,96850.01000000,677.30510000,1735822799999,65536888.25591430,75640,299.57268000,28988085.01336200,0
1735822800000,96850.01000000,96988.05000000,96436.00000000,96458.17000000,903.27447000,1735826399999,87348109.23849220,95774,387.86062000,37514449.69702790,0
1735826400000,96458.17000000,97440.91000000,95924.60000000,97256.49000000,3007.10456000,1735829999999,290970641.12630930,352467,1544.93306000,149517808.73345450,0
1735830000000,97256.48000000,97323.16000000,96164.78000000,96455.01000000,2007.04700000,1735833599999,194011343.52852700,334380,904.04184000,87372415.25013550,0
1735833600000,96455.01000000,97650.00000000,96040.04000000,97229.74000000,1725.02990000,1735837199999,167438825.32297640,318172,911.23751000,88417872.27793480,0
1735837200000,97229.75000000,97591.84000000,96325.44000000,96757.57000000,1272.75775000,1735840799999,123305062.23608620,336972,564.25388000,54650773.98689460,0
1735840800000,96757.57000000,97350.00000000,96400.00000000,97319.74000000,839.90460000,1735844399999,81388376.67303560,298186,465.02537000,45067216.66039370,0
1735844400000,97319.74000000,97777.00000000,97200.00000000,97317.74000000,714.40965000,1735847999999,69635113.58999660,208680,333.95454000,32553629.85892240,0
1735848000000,97317.74000000,97839.50000000,97300.00000000,97306.46000000,718.84680000,1735851599999,70144870.75449890,218888,349.58694000,34112718.43683300,0
1735851600000,97306.46000000,97355.77000000,97040.16000000,97212.68000000,394.14727000,1735855199999,38310466.08920240,81120,180.45881000,17540159.37969050,0
1735855200000,97212.69000000,97212.69000000,96666.66000000,96911.04000000,418.78092000,1735858799999,40589934.98971490,96380,190.39105000,18449603.88887420,0
1735858800000,96911.04000000,97077.78000000,96758.17000000,96984.79000000,441.78434000,1735862399999,42809914.06355740,86210,189.59721000,18375570.29432910,0
1735862400000,96984.79000000,97080.96000000,96796.56000000,96825.82000000,315.00973000,1735865999999,30537528.63469520,80859,145.96153000,14150954.84192590,0
1735866000000,96825.83000000,97000.00000000,96650.00000000,96985.47000000,342.35914000,1735869599999,33143861.49696850,98239,161.29927000,15614907.46096310,0
1735869600000,96985.47000000,97342.44000000,96856.98000000,96966.85000000,388.64008000,1735873199999,37750293.21697020,95390,188.46857000,18307144.63245010,0
1735873200000,96966.85000000,97090.91000000,96833.99000000,97062.30000000,255.74920000,1735876799999,24802058.61931570,49698,138.78592000,13459093.77841320,0
1735876800000,97062.30000000,97066.18000000,96766.51000000,96813.41000000,265.52213000,1735880399999,25730011.70991530,51313,121.83622000,11806078.58499940,0
1735880400000,96813.49000000,96860.48000000,96590.28000000,96765.34000000,316.46331000,1735883999999,30607608.47294050,57542,150.86266000,14591417.22651530,0
1735884000000,96765.35000000,96918.56000000,96512.00000000,96539.49000000,382.40263000,1735887599999,36978204.55637640,52819,199.37884000,19280525.62877170,0
1735887600000,96539.49000000,96645.83000000,96280.65000000,96304.00000000,546.86929000,1735891199999,52735823.61682060,75732,231.64872000,22341472.66967590,0
