Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_volume,Taker_buy_quote_volume,Ignore
1735689600000,93576.00000000,94509.42000000,93489.03000000,93607.74000000,1342.52466000,1735696799999,126165417.46606460,173468,678.50342000,63784716.10578910,0
1735696800000,93607.74000000,94105.12000000,93594.56000000,93838.04000000,497.77347000,1735703999999,46722131.64221490,90079,305.27344000,28652435.61494800,0
1735704000000,93838.04000000,93937.19000000,93500.00000000,93792.02000000,488.64849000,1735711199999,45789846.97746740,72436,256.20365000,24012199.79297920,0
1735711200000,93792.02000000,93800.00000000,93568.38000000,93684.10000000,470.21304000,1735718399999,44055224.73239440,52957,236.29508000,22137002.80518670,0
1735718400000,93684.11000000,93756.02000000,92888.00000000,93413.06000000,1280.20946000,1735725599999,119464852.90138560,144943,566.68946000,52880364.81267420,0
1735725600000,93413.07000000,93705.08000000,93200.00000000,93444.64000000,587.27417000,1735732799999,54871399.80139750,107455,305.77795000,28572829.85890610,0
1735732800000,93444.65000000,94058.79000000,93407.07000000,94031.76000000,839.72000000,1735739999999,78732807.28333350,123407,539.80939000,50617277.25818480,0
1735740000000,94031.77000000,94500.00000000,93671.48000000,94432.94000000,1237.99092000,1735747199999,116569426.57605980,201772,647.68984000,60991876.15909950,0
1735747200000,94432.94000000,94492.00000000,93760.93000000,94143.85000000,884.14179000,1735754399999,83209706.72593720,148941,438.21264000,41244773.44152620,0
1735754400000,94143.84000000,94823.75000000,93936.44000000,94627.07000000,836.91203000,1735761599999,78994734.77040470,139039,431.30372000,40713597.09147660,0
1735761600000,94627.08000000,95151.15000000,94579.83000000,94978.48000000,1061.23624000,1735768799999,100635345.08752080,144506,554.98330000,52636340.09774490,0
1735768800000,94978.48000000,94997.32000000,94542.00000000,94591.79000000,846.68186000,1735775999999,80233300.17381790,117553,386.99459000,36670622.60207540,0
1735776000000,94591.78000000,95516.00000000,94392.00000000,94862.72000000,2325.13190000,1735783199999,221015701.71666750,302294,1232.53146000,117190502.03958140,0
1735783200000,94862.73000000,95299.24000000,94803.03000000,95010.33000000,745.93586000,1735790399999,70896026.77278700,119357,363.37852000,34535299.00240440,0
1735790400000,95010.34000000,96000.00000000,94984.84000000,95596.48000000,1627.73640000,1735797599999,155603840.00287590,189822,896.07202000,85661717.85671270,0
1735797600000,95596.48000000,95880.00000000,95380.04000000,95822.00000000,970.09545000,1735804799999,92753163.75320830,112710,548.40117000,52429021.67201390,0
1735804800000,95822.01000000,96799.86000000,95640.05000000,96755.51000000,1820.78691000,1735811999999,175141224.84141780,192966,917.55574000,88257166.43706170,0
1735812000000,96755.51000000,96876.38000000,96469.46000000,96732.99000000,1360.41060000,1735819199999,131512349.72601180,149061,637.11744000,61592699.84804540,0
1735819200000,96733.00000000,96988.05000000,96436.00000000,96458.17000000,1580.57957000,1735826399999,152884997.49440650,171414,687.43330000,66502534.71038990,0
1735826400000,96458.17000000,97440.91000000,95924.60000000,96455.01000000,5014.15156000,1735833599999,484981984.65483630,686847,2448.97490000,236890223.98359000,0
1735833600000,96455.01000000,97650.00000000,96040.04000000,96757.57000000,2997.78765000,1735840799999,290743887.55906260,655144,1475.49139000,143068646.26482940,0
1735840800000,96757.57000000,97777.00000000,96400.00000000,97317.74000000,1554.31425000,1735847999999,151023490.26303220,506866,798.97991000,77620846.51931610,0
1735848000000,97317.74000000,97839.50000000,97040.16000000,97212.68000000,1112.99407000,1735855199999,108455336.84370130,300008,530.04575000,51652877.81652350,0
1735855200000,97212.69000000,97212.69000000,96666.66000000,96984.79000000,860.56526000,1735862399999,83399849.05327230,182590,379.98826000,36825174.18320330,0
1735862400000,96984.79000000,97080.96000000,96650.00000000,96985.47000000,657.36887000,1735869599999,63681390.13166370,179098,307.26080000,29765862.30288900,0
1735869600000,96985.47000000,97342.44000000,96833.99000000,97062.30000000,644.38928000,1735876799999,62552351.83628590,145088,327.25449000,31766238.41086330,0
1735876800000,97062.30000000,97066.18000000,96590.28000000,96765.34000000,581.98544000,1735883999999,56337620.18285580,108855,272.69888000,26397495.81151470,0
1735884000000,96765.35000000,96918.56000000,96280.65000000,96304.00000000,929.27192000,1735891199999,89714028.17319700,128551,431.02756000,41621998.29844760,0
1735891200000,96304.00000000,96702.48000000,96100.01000000,96554.32000000,1071.38606000,1735898399999,103259113.78810400,127424,591.63285000,57028095.31281380,0
1735898400000,96554.32000000,96830.00000000,96402.82000000,96757.58000000,803.79177000,1735905599999,77659949.19842790,119235,415.87204000,40187183.57824310,0
1735905600000,96757.57000000,96921.36000000,96472.43000000,96504.79000000,1018.38613000,1735912799999,98455826.80801240,189801,453.75401000,43870872.22133080,0
1735912800000,96504.80000000,97660.00000000,96504.79000000,97521.35000000,2978.19233000,1735919999999,289248506.05501290,653535,1484.71326000,144201279.38757710,0
1735920000000,97521.36000000,98444.42000000,97406.54000000,98026.00000000,2699.62642000,1735927199999,264636401.49609640,518028,1433.17381000,140479188.34563260,0
1735927200000,98025.99000000,98976.91000000,98000.00000000,98592.01000000,1884.07035000,1735934399999,185753137.22350070,345901,903.22693000,89044940.46155540,0
1735934400000,98592.02000000,98748.00000000,98196.96000000,98272.70000000,1353.55008000,1735941599999,133207540.96725610,210939,586.24387000,57695071.23464160,0
1735941600000,98272.70000000,98512.94000000,98067.99000000,98174.18000000,631.81071000,1735948799999,62104902.73037890,124709,261.74947000,25729021.53104980,0
